review,bank,themes
really am happy to this ape it is siple to use everything,CBE,[]
liked this ape but the user interface is very basic and not attractive at all,CBE,['User Interface']
why don your arms support account to account transfers like other countries kenya nigeria south africa,CBE,"['Account Access', 'Transaction Performance', 'Customer Support']"
what is this ape problem,CBE,['Customer Support']
the ape is proactive and good connections,CBE,[]
cannot send to cbebirr ape through this ape,CBE,['Transaction Performance']
not functional,CBE,['Feature Requests']
overtime you uninstall the ape you have to reach them out physically very oldy if that one of security layer they check for fraud attempt via ape source directly source ape store play store et implicitly we are in physical presence for every ape install is traditional traditionally very rare,CBE,['Account Access']
it was good ape but it have some issues like it doesn't give me the right amount that have in the bank and have some issues in transferring,CBE,"['Transaction Performance', 'Customer Support']"
best ape of finance,CBE,[]
it is not safety,CBE,[]
it is like childish ape make it better the worst have ever seen,CBE,[]
it problem solver application go ahead be love so much,CBE,['Customer Support']
it good but try to make it facilitate for your client,CBE,[]
this ape has developed in very good ways but there are some comments need to make preventing the screenshot likely not good for someone like me coz need to make screenshot for quicker evidence it would be good if you make us to access recent transaction histories for days coz we don have to go to the bank in person to see old transactions or add colander category so user can easily access old transactions through colanders,CBE,"['Account Access', 'Transaction Performance', 'User Interface', 'Feature Requests']"
recently there is big problem when sending to safaricom telesis and even to cbebirr wallet could anybody who is responsible fix it it very frustrating it been days and my money has been returned it takes it out of my account but does send it to my mesa update they have just corrected it and sent me back the money but still afraid now to send again,CBE,"['Account Access', 'Transaction Performance', 'Customer Support']"
it good ape and time manager,CBE,[]
lower system everything,CBE,[]
keep it up my be,CBE,[]
was using this ape for the last two years with no problems it stopped working about months ago when tried to transfer funds it gives me error can do this transaction inactive account,CBE,"['Account Access', 'Transaction Performance', 'Customer Support']"
like everything of this ape,CBE,[]
be is the best financial application and and very dimple to use would like to say thank you so much for the developer of application really appreciate this ape,CBE,[]
it awesome,CBE,[]
thankyou every one,CBE,[]
this ape is absolutely fantastic love it and enjoying to it let us support this foundation together,CBE,['Customer Support']
the be ape has been highly unreliable in recent weeks it frequently fails to work properly on both ethic telecoms and safaricom networks whether using i i or mobile data this week the system was down entirely for extended periods making it very difficult to access banking services the ape only functions intermittently and the lack of consistency is frustrating hope the issues are addressed soon and that any non technical influences are removed from such essential services,CBE,"['Account Access', 'Customer Support', 'Feature Requests']"
mortuary ape,CBE,[]
it is smart ape but it has stopped after some period of time on my device with out any reason,CBE,[]
amazing ape am used this ape for one year,CBE,[]
good ape,CBE,[]
it makes life easy,CBE,[]
its not fast,CBE,['Transaction Performance']
accessible to using,CBE,['Account Access']
why you change default network,CBE,[]
how to get my money,CBE,[]
very bad can even load they need to improve their services,CBE,"['Customer Support', 'Feature Requests']"
very good ape but please make it reliable it crashes sometimes,CBE,[]
very busy don know why prefer,CBE,[]
sometimes it has nasty lag for several hour fix that the rest is,CBE,[]
the most boring mobil banking application in ethiopia please use alternative private banks mobile banking apes,CBE,[]
user friendly apes because this ape is easy,CBE,[]
very good ape,CBE,[]
sync problem may but the date stack on may help plus,CBE,['Customer Support']
hate this ape,CBE,[]
this ape is good and we are using it well,CBE,[]
very nice ape for android phone,CBE,[]
easy to use helpful in my life,CBE,['Customer Support']
the best mobile banking ape,CBE,[]
this ape is very useful ape it saves time and it is secure,CBE,[]
it good application,CBE,[]
the screenshot and the refresh options are so annoying that makes transaction so delaying activity,CBE,"['Transaction Performance', 'User Interface', 'Feature Requests']"
poor service,CBE,['Customer Support']
it is reliable and easy to use,CBE,[]
the most annoying mobile banking ape we ever seen,CBE,[]
can make screenshout in this ape please made modification,CBE,['User Interface']
best ape loved it,CBE,[]
amazing application sometimes doesn't work,CBE,[]
well satisfied with this beautiful ape,CBE,[]
not working why,CBE,[]
great impact but why developer option turnoff if you fix,CBE,['Feature Requests']
always disappointing especially the is one some similar local applications are extremely superior to this application really disappointing,CBE,[]
good easy to use,CBE,[]
good ape,CBE,[]
please kindly ask to update the ape and allow us to screenshot it convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen,CBE,"['Account Access', 'User Interface', 'Feature Requests']"
have using the be mobile banking ape and overall appreciate its features however we noticed that when turn on the developer options on my device the ape stop functioning properly it would be great if you could look into this issue as often need to access developer setting for otter application thankyou for your attention to this matter,CBE,"['Account Access', 'Customer Support', 'Feature Requests']"
customer service is bad nothing is good about this bank,CBE,['Customer Support']
it is amazing mobile banking ape but why the screenshot of the receipt doesn't work,CBE,['User Interface']
fast and simple easy to use,CBE,['Transaction Performance']
the fastest transferring ape ever had its so reliable,CBE,['Transaction Performance']
funds transferred from the same bank do not reflect in the account even though confirmation text message was received,CBE,"['Account Access', 'Transaction Performance']"
it easy and fast,CBE,['Transaction Performance']
this ape don have self activation only you have to look near be branch that disgusting,CBE,[]
hello dearest be office personnel make some benefits for those using interest free accounts thanks for your help,CBE,"['Account Access', 'Customer Support']"
wow best application ever,CBE,[]
am sorry but what does developer mode do to the application hack it are you sure you are developer or are you stupid doesn't makes sense,CBE,[]
the pride of ethiopian bank,CBE,[]
why the ape telling me to turn of developer options please fix it,CBE,['Feature Requests']
am very happy have small rob after transfer cant put the transfer case big to my did,CBE,['Transaction Performance']
all service of mobile banking,CBE,['Customer Support']
miss the old one could send my many to other bank,CBE,['Transaction Performance']
the ape is recently crushing each time you open and try to make transfers it used to be good take lessons from the dashed super ape or ethiotelecom it is not befitting of your experience and glory in st in making it more friendly and convenient am considering leaving be for good,CBE,['Transaction Performance']
good but these week not okay,CBE,[]
well designed fixing bugs two step verification with biometric simply it great,CBE,"['Account Access', 'User Interface']"
if any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times,CBE,"['User Interface', 'Feature Requests']"
it great job but one more thing it has been placed for transfer to other banks on face like mobile charge card place,CBE,['Transaction Performance']
it very low quality application,CBE,[]
very amazing apes,CBE,[]
wow simple life,CBE,[]
it nice,CBE,[]
why stacked sometimes,CBE,[]
okay but sometimes busy,CBE,[]
the worst commercial company that fails to do even the most normal things again and and again,CBE,[]
very good ape but disappointed by general cessation of system,CBE,[]
good and fast,CBE,['Transaction Performance']
best the best fast,CBE,['Transaction Performance']
fast and reliable,CBE,['Transaction Performance']
best ape but there is some problem can send money to telebirr or mesa so if you can add that it could be use full,CBE,"['Transaction Performance', 'Customer Support', 'Feature Requests']"
its good and simple to use,CBE,[]
worst ape like that bank for security and network access,CBE,['Account Access']
it the best ape,CBE,[]
its very nice,CBE,[]
it crashes frequently,CBE,[]
the best,CBE,[]
can simply describe this ape as making all your work easier,CBE,[]
best appearance,CBE,[]
it very good ape,CBE,[]
need support you,CBE,['Customer Support']
the worst mobile banking have ever seen in my life,CBE,[]
the best,CBE,[]
to other bank is bad,CBE,[]
its good but add more features such like bank statement showing,CBE,['Feature Requests']
it is so nice,CBE,[]
my first frequent experience of be ape is critical time failure such as suspending payment on air for days with zero explanation deducting from sender account without depositing to the receiver act another fatal error by the banking company as whole not the ape itself though is forced banking with corporations without consent of employers users of the corresponding corporations,CBE,"['Account Access', 'Transaction Performance']"
great ape,CBE,[]
well ape,CBE,[]
actually it is inactive,CBE,[]
slow only one account is used,CBE,"['Account Access', 'Transaction Performance']"
always be is the leading commercial bank,CBE,[]
why removing screenshot feature why,CBE,"['User Interface', 'Feature Requests']"
nice apes where network is good in connection,CBE,[]
can take screenshot,CBE,['User Interface']
every update was made the system better and better until the march th update not allowing us to screenshot you guys did understand how much it really quick and significant thing you add extra steps to us which makes the process draw back,CBE,"['Transaction Performance', 'User Interface', 'Feature Requests']"
perfectly special,CBE,[]
fast and reliable,CBE,['Transaction Performance']
the best application have ever seen in ethiopia banking industry,CBE,[]
because sometimes it does working it load too much,CBE,[]
absolutely the best ape it works flawlessly anytime and anywhere,CBE,[]
very nice ape ever,CBE,[]
the best ape,CBE,[]
biometric security for mobile banking is not available,CBE,['Account Access']
great ape,CBE,[]
it special apes,CBE,[]
in the updated version of the ape it takes more time to download the receipt,CBE,[]
very interesting ape am using every day fantastic,CBE,[]
can scan recognize other banks interoperable or codes,CBE,[]
everything wellbeok,CBE,[]
this mobile banking ape is fast and user friendly but the only issue encountered is that can access my bank statement within the ape kindly request that this feature be added similar to what is offered by other private bank mobile banking apes,CBE,"['Account Access', 'Transaction Performance', 'Customer Support', 'Feature Requests']"
why did this ape is not screenshot,CBE,['User Interface']
it so good ape,CBE,[]
less network specially to make fee for utility purpose,CBE,[]
simply for used,CBE,[]
its great ape but when updating we can take screen shot please try to fix it,CBE,['User Interface']
everything is easy thank you cube,CBE,[]
but this ape says can sync,CBE,[]
work on screen shot system,CBE,['User Interface']
very very nice application,CBE,[]
wonder full and it is easy to use,CBE,[]
easy and reliable,CBE,[]
it is very useful ape,CBE,[]
commercial bank,CBE,[]
it is good but it does allow screen shot,CBE,['User Interface']
the best one,CBE,[]
you need to copy many things from other bank apes like mole dashed,CBE,[]
bring back the screenshot feature,CBE,"['User Interface', 'Feature Requests']"
best ape to experience him that to smooth transaction among the customers,CBE,['Transaction Performance']
nice ape suitable to use it the only weak side is it need data connections and hoping will be fixed to offline gave rate,CBE,['User Interface']
easy to use,CBE,[]
