review,rating,date,bank,distilbert_score,distilbert_sentiment
really am happy to this ape it is siple to use everything,5,2025-06-07,CBE,0.9900374412536621,positive
liked this ape but the user interface is very basic and not attractive at all,2,2025-06-07,CBE,-0.999661922454834,negative
why don your arms support account to account transfers like other countries kenya nigeria south africa,4,2025-06-06,CBE,-0.9906771183013916,negative
what is this ape problem,1,2025-06-05,CBE,-0.999323844909668,negative
the ape is proactive and good connections,5,2025-06-05,CBE,0.9998692274093628,positive
cannot send to cbebirr ape through this ape,3,2025-06-05,CBE,-0.9959730505943298,negative
not functional,1,2025-06-05,CBE,-0.999778687953949,negative
overtime you uninstall the ape you have to reach them out physically very oldy if that one of security layer they check for fraud attempt via ape source directly source ape store play store et implicitly we are in physical presence for every ape install is traditional traditionally very rare,1,2025-06-04,CBE,-0.995633065700531,negative
it was good ape but it have some issues like it doesn't give me the right amount that have in the bank and have some issues in transferring,2,2025-06-04,CBE,-0.9989058971405029,negative
best ape of finance,5,2025-06-04,CBE,0.9995668530464172,positive
it is not safety,1,2025-06-03,CBE,-0.9997867941856384,negative
it is like childish ape make it better the worst have ever seen,1,2025-06-02,CBE,-0.9996923208236694,negative
it problem solver application go ahead be love so much,5,2025-06-02,CBE,0.9975438714027405,positive
it good but try to make it facilitate for your client,4,2025-06-02,CBE,0.7903190851211548,positive
this ape has developed in very good ways but there are some comments need to make preventing the screenshot likely not good for someone like me coz need to make screenshot for quicker evidence it would be good if you make us to access recent transaction histories for days coz we don have to go to the bank in person to see old transactions or add colander category so user can easily access old transactions through colanders,5,2025-05-31,CBE,-0.9987486600875854,negative
recently there is big problem when sending to safaricom telesis and even to cbebirr wallet could anybody who is responsible fix it it very frustrating it been days and my money has been returned it takes it out of my account but does send it to my mesa update they have just corrected it and sent me back the money but still afraid now to send again,2,2025-05-31,CBE,-0.9986567497253418,negative
it good ape and time manager,5,2025-05-30,CBE,0.999842643737793,positive
lower system everything,3,2025-05-30,CBE,-0.9993475079536438,negative
keep it up my be,5,2025-05-29,CBE,0.9994832277297974,positive
