review,rating,date,bank,vader_score,vader_sentiment
really am happy to this ape it is siple to use everything,5,2025-06-07,CBE,0.6096,positive
liked this ape but the user interface is very basic and not attractive at all,2,2025-06-07,CBE,-0.298,negative
why don your arms support account to account transfers like other countries kenya nigeria south africa,4,2025-06-06,CBE,0.6369,positive
what is this ape problem,1,2025-06-05,CBE,-0.4019,negative
the ape is proactive and good connections,5,2025-06-05,CBE,0.6908,positive
cannot send to cbebirr ape through this ape,3,2025-06-05,CBE,0.0,neutral
not functional,1,2025-06-05,CBE,0.0,neutral
overtime you uninstall the ape you have to reach them out physically very oldy if that one of security layer they check for fraud attempt via ape source directly source ape store play store et implicitly we are in physical presence for every ape install is traditional traditionally very rare,1,2025-06-04,CBE,0.0258,neutral
it was good ape but it have some issues like it doesn't give me the right amount that have in the bank and have some issues in transferring,2,2025-06-04,CBE,0.6369,positive
best ape of finance,5,2025-06-04,CBE,0.6369,positive
it is not safety,1,2025-06-03,CBE,-0.3252,negative
it is like childish ape make it better the worst have ever seen,1,2025-06-02,CBE,-0.2263,negative
it problem solver application go ahead be love so much,5,2025-06-02,CBE,0.3612,positive
it good but try to make it facilitate for your client,4,2025-06-02,CBE,0.2382,positive
this ape has developed in very good ways but there are some comments need to make preventing the screenshot likely not good for someone like me coz need to make screenshot for quicker evidence it would be good if you make us to access recent transaction histories for days coz we don have to go to the bank in person to see old transactions or add colander category so user can easily access old transactions through colanders,5,2025-05-31,CBE,0.8567,positive
recently there is big problem when sending to safaricom telesis and even to cbebirr wallet could anybody who is responsible fix it it very frustrating it been days and my money has been returned it takes it out of my account but does send it to my mesa update they have just corrected it and sent me back the money but still afraid now to send again,2,2025-05-31,CBE,-0.3174,negative
it good ape and time manager,5,2025-05-30,CBE,0.4404,positive
lower system everything,3,2025-05-30,CBE,-0.296,negative
keep it up my be,5,2025-05-29,CBE,0.0,neutral
was using this ape for the last two years with no problems it stopped working about months ago when tried to transfer funds it gives me error can do this transaction inactive account,4,2025-05-27,CBE,-0.3274,negative
like everything of this ape,5,2025-05-27,CBE,0.3612,positive
be is the best financial application and and very dimple to use would like to say thank you so much for the developer of application really appreciate this ape,5,2025-05-26,CBE,0.9041,positive
it awesome,5,2025-05-25,CBE,0.6249,positive
thankyou every one,5,2025-05-25,CBE,0.0,neutral
this ape is absolutely fantastic love it and enjoying to it let us support this foundation together,5,2025-05-25,CBE,0.9379,positive
the be ape has been highly unreliable in recent weeks it frequently fails to work properly on both ethic telecoms and safaricom networks whether using i i or mobile data this week the system was down entirely for extended periods making it very difficult to access banking services the ape only functions intermittently and the lack of consistency is frustrating hope the issues are addressed soon and that any non technical influences are removed from such essential services,2,2025-05-25,CBE,-0.7841,negative
mortuary ape,5,2025-05-25,CBE,0.0,neutral
it is smart ape but it has stopped after some period of time on my device with out any reason,5,2025-05-25,CBE,-0.128,negative
amazing ape am used this ape for one year,4,2025-05-24,CBE,0.5859,positive
good ape,5,2025-05-24,CBE,0.4404,positive
it makes life easy,5,2025-05-24,CBE,0.4404,positive
its not fast,1,2025-05-24,CBE,0.0,neutral
