review,rating,date,bank,source
hello facing problem with the boa mobile ape every time enter my phone number and password the ape crashes and shows an error that says bookmobile closed because this ape has bug tried updating reinstalling and clearing cache but nothing worked please fix this bug in the next update really need access to my account thank you,1,2025-06-03,Bank of Abyssinia,Google Play
this is worst ape loading,1,2025-06-01,Bank of Abyssinia,Google Play
this ape is not interest for android phone please update it,1,2025-06-01,Bank of Abyssinia,Google Play
boa system is comfortable,5,2025-06-01,Bank of Abyssinia,Google Play
this ape for me is waste of time it does work can even long in and it really piss me off fix the problem,1,2025-05-27,Bank of Abyssinia,Google Play
good service,3,2025-05-25,Bank of Abyssinia,Google Play
the ape crush frequently,1,2025-05-24,Bank of Abyssinia,Google Play
this ape is joke it crashes more than it works takes forever to load and half the features are just decorative at this point can log in can transfer money can even check my balance without it bugging out to the developer are you actually trying to make this work or is this some kind of social experiment to test our patience did you build this in your sleep because it definitely looks like it if this is your idea of functional ape maybe consider different career path,1,2025-05-21,Bank of Abyssinia,Google Play
boa,2,2025-05-20,Bank of Abyssinia,Google Play
but not opening on android,4,2025-05-19,Bank of Abyssinia,Google Play
worst ape ever totally unreliable and it did work at all for the last months,1,2025-05-18,Bank of Abyssinia,Google Play
this ape does no work on samsung it just gives preview of the logo,1,2025-05-11,Bank of Abyssinia,Google Play
entered incorrect security question by mistake boa ape lock pin forever why is there no other options contacted different branch more then times but they did able to solve this issue,5,2025-05-10,Bank of Abyssinia,Google Play
liking this application good,5,2025-05-07,Bank of Abyssinia,Google Play
this ape future is good but there is problems with apes to reset and activate it which is difficult even to the branch staffs and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and top sent not work,1,2025-05-06,Bank of Abyssinia,Google Play
it really good,5,2025-04-23,Bank of Abyssinia,Google Play
bad ape it stuck when you open and noting works,1,2025-04-23,Bank of Abyssinia,Google Play
the ape in working after it asked me the password it starts loading but it does open,3,2025-04-20,Bank of Abyssinia,Google Play
it keeps showing this pop up to turn off developer options even tho it off had to turn on and then off to make it work this is horrible experience and needs fix asap plus kinda slow,1,2025-04-19,Bank of Abyssinia,Google Play
great boa,5,2025-04-10,Bank of Abyssinia,Google Play
boa of mobile backing,5,2025-04-09,Bank of Abyssinia,Google Play
faster bank of abyssinia,5,2025-04-08,Bank of Abyssinia,Google Play
would have given it lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08,Bank of Abyssinia,Google Play
it just does work so frustrating,1,2025-04-07,Bank of Abyssinia,Google Play
it not work correctly you must have update it,1,2025-04-06,Bank of Abyssinia,Google Play
the ape gets considerable improvements like language or scanner and unlimited transfers service but boa please do lot on its fastness and convenient when we login and making transactions,5,2025-04-04,Bank of Abyssinia,Google Play
after typed in my password it says successfully logged out and goes back to the first page,2,2025-04-04,Bank of Abyssinia,Google Play
good but they don update enough don add new things,3,2025-04-04,Bank of Abyssinia,Google Play
thank you,5,2025-04-02,Bank of Abyssinia,Google Play
it does work period slowest mobile banking ever would rather use,1,2025-04-01,Bank of Abyssinia,Google Play
after activated the application it not allowed to sign automatically it is turn off in my phone why,1,2025-03-31,Bank of Abyssinia,Google Play
good application,5,2025-03-30,Bank of Abyssinia,Google Play
this version is not working for me cannot even buy card cannot send money,1,2025-03-30,Bank of Abyssinia,Google Play
it can actively on initialization it says incorrect top getting the exact top,1,2025-03-29,Bank of Abyssinia,Google Play
always problematic hardly works,1,2025-03-26,Bank of Abyssinia,Google Play
considering the fact the bank is huge this ape really bad you could do better,1,2025-03-25,Bank of Abyssinia,Google Play
worst ape and bank ever be ashamed scammed,1,2025-03-24,Bank of Abyssinia,Google Play
great boa,5,2025-03-22,Bank of Abyssinia,Google Play
have went to the bank so many times because could make any transaction can only see my balance nothing else so what is the point of having mobile banking if can make any transaction with it please work in that,1,2025-03-21,Bank of Abyssinia,Google Play
there is no speed,1,2025-03-19,Bank of Abyssinia,Google Play
for anyone who wants to download it just don,1,2025-03-19,Bank of Abyssinia,Google Play
all work,5,2025-03-19,Bank of Abyssinia,Google Play
loved it,5,2025-03-14,Bank of Abyssinia,Google Play
edit new bug ape not letting me type in my top codes shameful why does this ape not allow me to use it while having developer options on did all consider that might perhaps be an actual developer why am expected to toggle the option on and off just to bank restarting my phone when do why is the message labeled as something that will smoothen the experience this is like the most security consultant thing to implement in an ape please invest in actual security not this mess,1,2025-03-12,Bank of Abyssinia,Google Play
improved to be the best,5,2025-03-11,Bank of Abyssinia,Google Play
decent but there problems sometimes it says error when transfer money but infant it transferred because of this bug transferred times instead of and also we can transfer money to others telebirr act we only can to our self be de fix this,3,2025-03-11,Bank of Abyssinia,Google Play
boa great ethiopian bank,5,2025-03-11,Bank of Abyssinia,Google Play
the bug is still there the ape crashes every time try to log in especially in old phones like my galaxy,1,2025-03-10,Bank of Abyssinia,Google Play
almost better compared to be where it is not qualified for,4,2025-03-09,Bank of Abyssinia,Google Play
what awesome apes it is very simple to use and more much important apes,5,2025-03-09,Bank of Abyssinia,Google Play
wonderful ape,5,2025-03-08,Bank of Abyssinia,Google Play
can use this ape why,5,2025-03-07,Bank of Abyssinia,Google Play
worst mobile banking ape ever experienced was blaming other apes but comparing with this they re too much better it clashes it takes much longer time to login while loading in short it complete of trash,1,2025-03-06,Bank of Abyssinia,Google Play
pro the worst ape made by human kind as software engineer it make me so sad seeing enterprise as big as boa make apes like this it is disgrace for our country,1,2025-03-05,Bank of Abyssinia,Google Play
