review,rating,date,bank,source
really am happy to this ape it is siple to use everything,5,2025-06-07,Commercial Bank of Ethiopia,Google Play
liked this ape but the user interface is very basic and not attractive at all,2,2025-06-07,Commercial Bank of Ethiopia,Google Play
why don your arms support account to account transfers like other countries kenya nigeria south africa,4,2025-06-06,Commercial Bank of Ethiopia,Google Play
what is this ape problem,1,2025-06-05,Commercial Bank of Ethiopia,Google Play
the ape is proactive and good connections,5,2025-06-05,Commercial Bank of Ethiopia,Google Play
cannot send to cbebirr ape through this ape,3,2025-06-05,Commercial Bank of Ethiopia,Google Play
not functional,1,2025-06-05,Commercial Bank of Ethiopia,Google Play
overtime you uninstall the ape you have to reach them out physically very oldy if that one of security layer they check for fraud attempt via ape source directly source ape store play store et implicitly we are in physical presence for every ape install is traditional traditionally very rare,1,2025-06-04,Commercial Bank of Ethiopia,Google Play
it was good ape but it have some issues like it doesn't give me the right amount that have in the bank and have some issues in transferring,2,2025-06-04,Commercial Bank of Ethiopia,Google Play
best ape of finance,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
it is not safety,1,2025-06-03,Commercial Bank of Ethiopia,Google Play
it is like childish ape make it better the worst have ever seen,1,2025-06-02,Commercial Bank of Ethiopia,Google Play
it problem solver application go ahead be love so much,5,2025-06-02,Commercial Bank of Ethiopia,Google Play
it good but try to make it facilitate for your client,4,2025-06-02,Commercial Bank of Ethiopia,Google Play
this ape has developed in very good ways but there are some comments need to make preventing the screenshot likely not good for someone like me coz need to make screenshot for quicker evidence it would be good if you make us to access recent transaction histories for days coz we don have to go to the bank in person to see old transactions or add colander category so user can easily access old transactions through colanders,5,2025-05-31,Commercial Bank of Ethiopia,Google Play
recently there is big problem when sending to safaricom telesis and even to cbebirr wallet could anybody who is responsible fix it it very frustrating it been days and my money has been returned it takes it out of my account but does send it to my mesa update they have just corrected it and sent me back the money but still afraid now to send again,2,2025-05-31,Commercial Bank of Ethiopia,Google Play
it good ape and time manager,5,2025-05-30,Commercial Bank of Ethiopia,Google Play
lower system everything,3,2025-05-30,Commercial Bank of Ethiopia,Google Play
keep it up my be,5,2025-05-29,Commercial Bank of Ethiopia,Google Play
was using this ape for the last two years with no problems it stopped working about months ago when tried to transfer funds it gives me error can do this transaction inactive account,4,2025-05-27,Commercial Bank of Ethiopia,Google Play
like everything of this ape,5,2025-05-27,Commercial Bank of Ethiopia,Google Play
be is the best financial application and and very dimple to use would like to say thank you so much for the developer of application really appreciate this ape,5,2025-05-26,Commercial Bank of Ethiopia,Google Play
it awesome,5,2025-05-25,Commercial Bank of Ethiopia,Google Play
thankyou every one,5,2025-05-25,Commercial Bank of Ethiopia,Google Play
this ape is absolutely fantastic love it and enjoying to it let us support this foundation together,5,2025-05-25,Commercial Bank of Ethiopia,Google Play
the be ape has been highly unreliable in recent weeks it frequently fails to work properly on both ethic telecoms and safaricom networks whether using i i or mobile data this week the system was down entirely for extended periods making it very difficult to access banking services the ape only functions intermittently and the lack of consistency is frustrating hope the issues are addressed soon and that any non technical influences are removed from such essential services,2,2025-05-25,Commercial Bank of Ethiopia,Google Play
mortuary ape,5,2025-05-25,Commercial Bank of Ethiopia,Google Play
it is smart ape but it has stopped after some period of time on my device with out any reason,5,2025-05-25,Commercial Bank of Ethiopia,Google Play
amazing ape am used this ape for one year,4,2025-05-24,Commercial Bank of Ethiopia,Google Play
good ape,5,2025-05-24,Commercial Bank of Ethiopia,Google Play
it makes life easy,5,2025-05-24,Commercial Bank of Ethiopia,Google Play
its not fast,1,2025-05-24,Commercial Bank of Ethiopia,Google Play
accessible to using,5,2025-05-23,Commercial Bank of Ethiopia,Google Play
why you change default network,5,2025-05-23,Commercial Bank of Ethiopia,Google Play
how to get my money,5,2025-05-23,Commercial Bank of Ethiopia,Google Play
very bad can even load they need to improve their services,1,2025-05-22,Commercial Bank of Ethiopia,Google Play
very good ape but please make it reliable it crashes sometimes,4,2025-05-22,Commercial Bank of Ethiopia,Google Play
very busy don know why prefer,3,2025-05-22,Commercial Bank of Ethiopia,Google Play
sometimes it has nasty lag for several hour fix that the rest is,4,2025-05-22,Commercial Bank of Ethiopia,Google Play
the most boring mobil banking application in ethiopia please use alternative private banks mobile banking apes,1,2025-05-22,Commercial Bank of Ethiopia,Google Play
user friendly apes because this ape is easy,5,2025-05-22,Commercial Bank of Ethiopia,Google Play
very good ape,5,2025-05-22,Commercial Bank of Ethiopia,Google Play
sync problem may but the date stack on may help plus,5,2025-05-22,Commercial Bank of Ethiopia,Google Play
hate this ape,1,2025-05-22,Commercial Bank of Ethiopia,Google Play
this ape is good and we are using it well,1,2025-05-21,Commercial Bank of Ethiopia,Google Play
very nice ape for android phone,5,2025-05-21,Commercial Bank of Ethiopia,Google Play
easy to use helpful in my life,5,2025-05-21,Commercial Bank of Ethiopia,Google Play
the best mobile banking ape,5,2025-05-21,Commercial Bank of Ethiopia,Google Play
this ape is very useful ape it saves time and it is secure,4,2025-05-21,Commercial Bank of Ethiopia,Google Play
it good application,5,2025-05-21,Commercial Bank of Ethiopia,Google Play
the screenshot and the refresh options are so annoying that makes transaction so delaying activity,2,2025-05-21,Commercial Bank of Ethiopia,Google Play
poor service,1,2025-05-21,Commercial Bank of Ethiopia,Google Play
it is reliable and easy to use,5,2025-05-20,Commercial Bank of Ethiopia,Google Play
the most annoying mobile banking ape we ever seen,1,2025-05-20,Commercial Bank of Ethiopia,Google Play
can make screenshout in this ape please made modification,5,2025-05-20,Commercial Bank of Ethiopia,Google Play
best ape loved it,5,2025-05-19,Commercial Bank of Ethiopia,Google Play
amazing application sometimes doesn't work,5,2025-05-18,Commercial Bank of Ethiopia,Google Play
well satisfied with this beautiful ape,5,2025-05-18,Commercial Bank of Ethiopia,Google Play
not working why,5,2025-05-17,Commercial Bank of Ethiopia,Google Play
great impact but why developer option turnoff if you fix,5,2025-05-17,Commercial Bank of Ethiopia,Google Play
always disappointing especially the is one some similar local applications are extremely superior to this application really disappointing,1,2025-05-17,Commercial Bank of Ethiopia,Google Play
good easy to use,5,2025-05-16,Commercial Bank of Ethiopia,Google Play
good ape,5,2025-05-15,Commercial Bank of Ethiopia,Google Play
please kindly ask to update the ape and allow us to screenshot it convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen,2,2025-05-14,Commercial Bank of Ethiopia,Google Play
have using the be mobile banking ape and overall appreciate its features however we noticed that when turn on the developer options on my device the ape stop functioning properly it would be great if you could look into this issue as often need to access developer setting for otter application thankyou for your attention to this matter,4,2025-05-13,Commercial Bank of Ethiopia,Google Play
customer service is bad nothing is good about this bank,1,2025-05-13,Commercial Bank of Ethiopia,Google Play
it is amazing mobile banking ape but why the screenshot of the receipt doesn't work,5,2025-05-13,Commercial Bank of Ethiopia,Google Play
fast and simple easy to use,5,2025-05-12,Commercial Bank of Ethiopia,Google Play
the fastest transferring ape ever had its so reliable,5,2025-05-11,Commercial Bank of Ethiopia,Google Play
funds transferred from the same bank do not reflect in the account even though confirmation text message was received,3,2025-05-11,Commercial Bank of Ethiopia,Google Play
it easy and fast,5,2025-05-10,Commercial Bank of Ethiopia,Google Play
this ape don have self activation only you have to look near be branch that disgusting,1,2025-05-10,Commercial Bank of Ethiopia,Google Play
hello dearest be office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,Commercial Bank of Ethiopia,Google Play
wow best application ever,5,2025-05-09,Commercial Bank of Ethiopia,Google Play
am sorry but what does developer mode do to the application hack it are you sure you are developer or are you stupid doesn't makes sense,1,2025-05-08,Commercial Bank of Ethiopia,Google Play
the pride of ethiopian bank,5,2025-05-08,Commercial Bank of Ethiopia,Google Play
why the ape telling me to turn of developer options please fix it,1,2025-05-07,Commercial Bank of Ethiopia,Google Play
am very happy have small rob after transfer cant put the transfer case big to my did,5,2025-05-07,Commercial Bank of Ethiopia,Google Play
all service of mobile banking,5,2025-05-06,Commercial Bank of Ethiopia,Google Play
miss the old one could send my many to other bank,1,2025-05-06,Commercial Bank of Ethiopia,Google Play
